model,train_ratio,epoch,train_samples,source_loads,target_load,use_augmentation,amp_scale_min,amp_scale_max,noise_snr_min_db,noise_snr_max_db,max_time_shift,train_loss,train_acc,train_macro_f1,source_val_loss,source_val_acc,source_val_macro_f1
CNN1D,0.1,1,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,2.0774622883539475,0.36929460580912865,0.3521275838501229,2.250581544760362,0.25959153597837087,0.1585563445192272
CNN1D,0.1,2,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.6313833552277435,0.6597510373443983,0.6016488698858262,2.0279846568890583,0.27510207599250464,0.18051488418066422
CNN1D,0.1,3,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.3204124211275725,0.7261410788381742,0.6711581893512112,1.5948241615432452,0.563247935539419,0.48050782551399723
CNN1D,0.1,4,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.10182632425514,0.7697095435684648,0.7289994893031065,1.1606776444620381,0.6834196175669364,0.6132347892544845
CNN1D,0.1,5,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.9219430855695637,0.8257261410788381,0.8055285347653587,0.9193496377435192,0.6954901847323897,0.6238859365337002
CNN1D,0.1,6,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.7736160812041571,0.8879668049792531,0.883302248742976,0.6833403354682118,0.8118590856374609,0.7643323181001932
CNN1D,0.1,7,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.655368373601763,0.9128630705394191,0.910536812414523,0.5506054844935963,0.8908607329378827,0.8700792713657745
CNN1D,0.1,8,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.5633799831896896,0.9315352697095436,0.9315959294251615,0.4347846888176097,0.9419954496095971,0.9308375196877431
CNN1D,0.1,9,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.4694718796435233,0.970954356846473,0.9715310378622248,0.36153283301606726,0.9543194236172156,0.9479997630248076
CNN1D,0.1,10,482,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.41619624154201684,0.9564315352697096,0.9571350603730829,0.3288308992185025,0.9310531806358892,0.9141818293235033
CNN1D,0.3,1,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.6866724818617433,0.635989010989011,0.6292611499820479,1.6662802581879195,0.5524781775784929,0.4821376487589328
CNN1D,0.3,2,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.9614291263150645,0.823489010989011,0.8009514334976151,0.74201849170831,0.7999026886208229,0.7438315991498804
CNN1D,0.3,3,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.6039972760520138,0.9168956043956044,0.9170023323534904,0.4012717214397341,0.9494542486315587,0.9440365714803362
CNN1D,0.3,4,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3875009751581884,0.9574175824175825,0.9582016159713536,0.26243004211189863,0.958260078942379,0.9532275834323715
CNN1D,0.3,5,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.27404555940366054,0.9711538461538461,0.9717744522264076,0.2136692537322804,0.9514833295987958,0.9418551032831224
CNN1D,0.3,6,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.20017013281256288,0.9752747252747253,0.9758241934610083,0.13958347180980887,0.9594903218022304,0.9509463360414165
CNN1D,0.3,7,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.15107949954140318,0.9876373626373627,0.9878539723924277,0.10830092305672401,0.9750015799966677,0.9729510768339694
CNN1D,0.3,8,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.12286153443894543,0.989010989010989,0.9892084012312787,0.09679561994173962,0.976055868682168,0.9735485545771426
CNN1D,0.3,9,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.10249275001850756,0.9903846153846154,0.9905561817646946,0.1818185197037339,0.9405030873545274,0.9300445921072501
CNN1D,0.3,10,1456,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.08517159341455816,0.9910714285714286,0.9912267007398476,0.051510407752574795,1.0,1.0
CNN1D,0.5,1,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,1.4613073141842823,0.6249485384932071,0.5953321369268522,0.954089144532102,0.7338321936837889,0.6754025943368389
CNN1D,0.5,2,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.6372821788303937,0.9057225195553725,0.9039132860147809,0.33517396621734036,0.9547962953387227,0.9488864699012703
CNN1D,0.5,3,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.3286036513945162,0.9629477151090984,0.9635793471886351,0.16869484577043348,0.9748758984435596,0.9735649707890089
CNN1D,0.5,4,2429,0+1+2,3,True,0.8,1.2,10.0,30.0,64,0.19700445158091923,0.9806504734458625,0.980984613392836,0.12332507823479306,0.9735458285215253,0.9711707826713739
